name,slug,description,basePrice,isActive,brand,weight,dimensions,material,careInstructions,categoryId
"Essential Pink T-Shirts","essential-pink-men-t-shirts-1","Essential men's t-shirts in Pink. Made with 100% Cotton for ultimate comfort and style.","138.14",true,"UrbanStyle","1.1","42x16x7 cm","100% Cotton","Machine wash cold, tumble dry low","men-tshirts"
"Classic White T-Shirts","classic-white-men-t-shirts-2","Classic men's t-shirts in White. Made with 100% Cotton for ultimate comfort and style.","144.92",true,"UrbanStyle","0.7","29x21x7 cm","100% Cotton","Machine wash cold, tumble dry low","men-tshirts"
"Classic Pink Tank Tops","classic-pink-men-tank-tops-1","Classic men's tank tops in Pink. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","149.83",true,"StyleLife","0.2","43x30x3 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","men-tank-tops"
"Urban Gray Tank Tops","urban-gray-men-tank-tops-2","Urban men's tank tops in Gray. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","46.60",true,"StyleLife","0.7","22x15x2 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","men-tank-tops"
"Classic Green Hoodies","classic-green-men-hoodies-1","Classic men's hoodies in Green. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","74.07",true,"Elegance","1.0","42x15x6 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","men-hoodies"
"Elegant Pink Hoodies","elegant-pink-men-hoodies-2","Elegant men's hoodies in Pink. Made with 95% Cotton 5% Elastane for ultimate comfort and style.","114.46",true,"Elegance","1.2","41x16x5 cm","95% Cotton 5% Elastane","Machine wash cold, tumble dry low","men-hoodies"
"Classic Black Jackets","classic-black-men-jackets-1","Classic men's jackets in Black. Made with 100% Cotton for ultimate comfort and style.","54.94",true,"SportFit","1.0","21x17x5 cm","100% Cotton","Machine wash cold, tumble dry low","men-jackets"
"Elegant Gray Jackets","elegant-gray-men-jackets-2","Elegant men's jackets in Gray. Made with 70% Cotton 30% Polyester for ultimate comfort and style.","112.49",true,"SportFit","0.4","42x33x2 cm","70% Cotton 30% Polyester","Machine wash cold, tumble dry low","men-jackets"
"Urban Green Joggers","urban-green-men-joggers-1","Urban men's joggers in Green. Made with 80% Cotton 20% Polyester for ultimate comfort and style.","135.73",true,"Elegance","0.6","31x24x7 cm","80% Cotton 20% Polyester","Machine wash cold, tumble dry low","men-joggers"
"Essential Yellow Joggers","essential-yellow-men-joggers-2","Essential men's joggers in Yellow. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","103.82",true,"Elegance","0.6","24x30x7 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","men-joggers"
"Urban White Sweatpants","urban-white-men-sweatpants-1","Urban men's sweatpants in White. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","75.99",true,"SportFit","0.7","24x18x6 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","men-sweatpants"
"Casual Gray Sweatpants","casual-gray-men-sweatpants-2","Casual men's sweatpants in Gray. Made with 70% Cotton 30% Polyester for ultimate comfort and style.","21.54",true,"FashionPro","0.6","43x33x5 cm","70% Cotton 30% Polyester","Machine wash cold, tumble dry low","men-sweatpants"
"Vintage Navy Shorts","vintage-navy-men-shorts-1","Vintage men's shorts in Navy. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","49.98",true,"StyleLife","1.1","30x16x2 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","men-shorts"
"Modern Green Shorts","modern-green-men-shorts-2","Modern men's shorts in Green. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","122.37",true,"FashionPro","1.2","31x29x5 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","men-shorts"
"Modern Black Pants","modern-black-men-pants-1","Modern men's pants in Black. Made with 80% Cotton 20% Polyester for ultimate comfort and style.","117.34",true,"FashionPro","0.8","35x16x7 cm","80% Cotton 20% Polyester","Machine wash cold, tumble dry low","men-pants"
"Vintage Red Pants","vintage-red-men-pants-2","Vintage men's pants in Red. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","28.69",true,"SportFit","0.6","34x34x4 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","men-pants"
"Elegant Purple Sweaters","elegant-purple-men-sweaters-1","Elegant men's sweaters in Purple. Made with 70% Cotton 30% Polyester for ultimate comfort and style.","50.85",true,"KidsComfort","0.2","31x30x7 cm","70% Cotton 30% Polyester","Machine wash cold, tumble dry low","men-sweaters"
"Modern Navy Sweaters","modern-navy-men-sweaters-2","Modern men's sweaters in Navy. Made with 95% Cotton 5% Elastane for ultimate comfort and style.","84.19",true,"SportFit","0.6","43x22x7 cm","95% Cotton 5% Elastane","Machine wash cold, tumble dry low","men-sweaters"
"Vintage Pink Polo Shirts","vintage-pink-men-polo-shirts-1","Vintage men's polo shirts in Pink. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","113.25",true,"StyleLife","0.8","25x23x3 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","men-polo-shirts"
"Vintage Purple Polo Shirts","vintage-purple-men-polo-shirts-2","Vintage men's polo shirts in Purple. Made with 100% Cotton for ultimate comfort and style.","106.20",true,"StyleLife","1.2","41x20x6 cm","100% Cotton","Machine wash cold, tumble dry low","men-polo-shirts"
"Casual Red T-Shirts","casual-red-women-t-shirts-1","Casual women's t-shirts in Red. Made with 100% Polyester for ultimate comfort and style.","40.72",true,"StyleLife","1.0","33x34x4 cm","100% Polyester","Machine wash cold, tumble dry low","women-tshirts"
"Modern Pink T-Shirts","modern-pink-women-t-shirts-2","Modern women's t-shirts in Pink. Made with 100% Polyester for ultimate comfort and style.","69.27",true,"Elegance","0.8","26x27x2 cm","100% Polyester","Machine wash cold, tumble dry low","women-tshirts"
"Modern Purple Tank Tops","modern-purple-women-tank-tops-1","Modern women's tank tops in Purple. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","115.14",true,"StyleLife","0.6","34x25x3 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","women-tank-tops"
"Modern Navy Tank Tops","modern-navy-women-tank-tops-2","Modern women's tank tops in Navy. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","139.31",true,"UrbanStyle","1.1","37x18x6 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","women-tank-tops"
"Urban Gray Hoodies","urban-gray-women-hoodies-1","Urban women's hoodies in Gray. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","35.77",true,"FashionPro","0.9","20x15x4 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","women-hoodies"
"Sport Black Hoodies","sport-black-women-hoodies-2","Sport women's hoodies in Black. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","128.15",true,"FashionPro","0.3","33x19x6 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","women-hoodies"
"Casual Navy Jackets","casual-navy-women-jackets-1","Casual women's jackets in Navy. Made with 80% Cotton 20% Polyester for ultimate comfort and style.","105.17",true,"Elegance","1.1","21x28x6 cm","80% Cotton 20% Polyester","Machine wash cold, tumble dry low","women-jackets"
"Casual Yellow Jackets","casual-yellow-women-jackets-2","Casual women's jackets in Yellow. Made with 95% Cotton 5% Elastane for ultimate comfort and style.","77.30",true,"KidsComfort","0.5","41x20x7 cm","95% Cotton 5% Elastane","Machine wash cold, tumble dry low","women-jackets"
"Elegant Yellow Leggings","elegant-yellow-women-leggings-1","Elegant women's leggings in Yellow. Made with 95% Cotton 5% Elastane for ultimate comfort and style.","105.84",true,"FashionPro","0.9","22x18x6 cm","95% Cotton 5% Elastane","Machine wash cold, tumble dry low","women-leggings"
"Casual Blue Leggings","casual-blue-women-leggings-2","Casual women's leggings in Blue. Made with 100% Polyester for ultimate comfort and style.","38.60",true,"KidsComfort","0.9","27x21x6 cm","100% Polyester","Machine wash cold, tumble dry low","women-leggings"
"Classic Red Shorts","classic-red-women-shorts-1","Classic women's shorts in Red. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","144.94",true,"FashionPro","1.1","24x18x4 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","women-shorts"
"Essential Blue Shorts","essential-blue-women-shorts-2","Essential women's shorts in Blue. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","22.31",true,"Elegance","0.9","42x32x7 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","women-shorts"
"Essential Yellow Dresses","essential-yellow-women-dresses-1","Essential women's dresses in Yellow. Made with 70% Cotton 30% Polyester for ultimate comfort and style.","70.13",true,"FashionPro","0.8","23x30x5 cm","70% Cotton 30% Polyester","Machine wash cold, tumble dry low","women-dresses"
"Classic Yellow Dresses","classic-yellow-women-dresses-2","Classic women's dresses in Yellow. Made with 100% Polyester for ultimate comfort and style.","146.19",true,"Elegance","0.8","41x18x7 cm","100% Polyester","Machine wash cold, tumble dry low","women-dresses"
"Vintage White Skirts","vintage-white-women-skirts-1","Vintage women's skirts in White. Made with 80% Cotton 20% Polyester for ultimate comfort and style.","133.09",true,"Elegance","0.9","43x31x2 cm","80% Cotton 20% Polyester","Machine wash cold, tumble dry low","women-skirts"
"Sport Blue Skirts","sport-blue-women-skirts-2","Sport women's skirts in Blue. Made with 100% Polyester for ultimate comfort and style.","50.98",true,"StyleLife","0.6","29x33x3 cm","100% Polyester","Machine wash cold, tumble dry low","women-skirts"
"Urban Gray Pants","urban-gray-women-pants-1","Urban women's pants in Gray. Made with 100% Cotton for ultimate comfort and style.","100.05",true,"StyleLife","0.9","22x17x3 cm","100% Cotton","Machine wash cold, tumble dry low","women-pants"
"Urban Black Pants","urban-black-women-pants-2","Urban women's pants in Black. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","54.43",true,"StyleLife","0.4","34x31x7 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","women-pants"
"Modern Red Sweaters","modern-red-women-sweaters-1","Modern women's sweaters in Red. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","101.88",true,"Elegance","1.1","22x22x2 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","women-sweaters"
"Sport Green Sweaters","sport-green-women-sweaters-2","Sport women's sweaters in Green. Made with 80% Cotton 20% Polyester for ultimate comfort and style.","104.98",true,"SportFit","0.8","35x18x5 cm","80% Cotton 20% Polyester","Machine wash cold, tumble dry low","women-sweaters"
"Classic Navy Blouses","classic-navy-women-blouses-1","Classic women's blouses in Navy. Made with 100% Cotton for ultimate comfort and style.","123.21",true,"SportFit","0.5","43x20x6 cm","100% Cotton","Machine wash cold, tumble dry low","women-blouses"
"Urban Purple Blouses","urban-purple-women-blouses-2","Urban women's blouses in Purple. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","131.24",true,"Elegance","0.7","44x28x6 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","women-blouses"
"Vintage White T-Shirts","vintage-white-kids-t-shirts-1","Vintage kids's t-shirts in White. Made with 100% Cotton for ultimate comfort and style.","105.52",true,"StyleLife","0.5","39x31x4 cm","100% Cotton","Machine wash cold, tumble dry low","kids-tshirts"
"Elegant Black T-Shirts","elegant-black-kids-t-shirts-2","Elegant kids's t-shirts in Black. Made with 80% Cotton 20% Polyester for ultimate comfort and style.","25.97",true,"SportFit","0.5","24x32x3 cm","80% Cotton 20% Polyester","Machine wash cold, tumble dry low","kids-tshirts"
"Sport Navy Hoodies","sport-navy-kids-hoodies-1","Sport kids's hoodies in Navy. Made with 100% Cotton for ultimate comfort and style.","116.19",true,"KidsComfort","0.6","44x20x4 cm","100% Cotton","Machine wash cold, tumble dry low","kids-hoodies"
"Urban Pink Hoodies","urban-pink-kids-hoodies-2","Urban kids's hoodies in Pink. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","24.20",true,"SportFit","0.5","24x29x5 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","kids-hoodies"
"Essential Green Pants","essential-green-kids-pants-1","Essential kids's pants in Green. Made with 95% Cotton 5% Elastane for ultimate comfort and style.","105.88",true,"SportFit","0.2","23x32x7 cm","95% Cotton 5% Elastane","Machine wash cold, tumble dry low","kids-pants"
"Vintage Yellow Pants","vintage-yellow-kids-pants-2","Vintage kids's pants in Yellow. Made with 95% Cotton 5% Elastane for ultimate comfort and style.","33.71",true,"KidsComfort","0.8","33x30x5 cm","95% Cotton 5% Elastane","Machine wash cold, tumble dry low","kids-pants"
"Vintage White Shorts","vintage-white-kids-shorts-1","Vintage kids's shorts in White. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","144.42",true,"FashionPro","0.3","41x31x4 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","kids-shorts"
"Urban Red Shorts","urban-red-kids-shorts-2","Urban kids's shorts in Red. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","122.87",true,"KidsComfort","0.9","29x17x6 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","kids-shorts"
"Classic White Dresses","classic-white-kids-dresses-1","Classic kids's dresses in White. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","47.23",true,"UrbanStyle","0.9","41x21x4 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","kids-dresses"
"Urban Blue Dresses","urban-blue-kids-dresses-2","Urban kids's dresses in Blue. Made with 100% Polyester for ultimate comfort and style.","100.30",true,"StyleLife","0.6","42x30x3 cm","100% Polyester","Machine wash cold, tumble dry low","kids-dresses"
"Casual Pink Sweatpants","casual-pink-kids-sweatpants-1","Casual kids's sweatpants in Pink. Made with 100% Cotton for ultimate comfort and style.","73.51",true,"KidsComfort","0.9","43x29x3 cm","100% Cotton","Machine wash cold, tumble dry low","kids-sweatpants"
"Essential Navy Sweatpants","essential-navy-kids-sweatpants-2","Essential kids's sweatpants in Navy. Made with 80% Cotton 20% Polyester for ultimate comfort and style.","143.32",true,"KidsComfort","0.8","29x17x3 cm","80% Cotton 20% Polyester","Machine wash cold, tumble dry low","kids-sweatpants"
"Classic Gray Jackets","classic-gray-kids-jackets-1","Classic kids's jackets in Gray. Made with 80% Cotton 20% Polyester for ultimate comfort and style.","29.61",true,"SportFit","0.5","31x17x2 cm","80% Cotton 20% Polyester","Machine wash cold, tumble dry low","kids-jackets"
"Essential Red Jackets","essential-red-kids-jackets-2","Essential kids's jackets in Red. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","21.88",true,"Elegance","0.9","36x15x5 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","kids-jackets"
"Modern Blue Sweaters","modern-blue-kids-sweaters-1","Modern kids's sweaters in Blue. Made with 100% Polyester for ultimate comfort and style.","62.24",true,"FashionPro","0.5","38x23x3 cm","100% Polyester","Machine wash cold, tumble dry low","kids-sweaters"
"Vintage Blue Sweaters","vintage-blue-kids-sweaters-2","Vintage kids's sweaters in Blue. Made with 70% Cotton 30% Polyester for ultimate comfort and style.","141.92",true,"Elegance","0.7","28x31x6 cm","70% Cotton 30% Polyester","Machine wash cold, tumble dry low","kids-sweaters"